자치구,시점,1인가구,2인가구,3인가구,4인가구,5인가구,6인가구,7인이상가구,총 가구수,1인가구 비율,2인가구 비율,3인가구 비율,4인가구 비율,5인가구 비율,6인가구 비율,7인가구이상 비율
종로구,2017,23638,15697,11268,8636,2351,601,181,62372,0.3789841595587764,0.25166741486564487,0.18065798755851986,0.1384595651895081,0.037693195664721346,0.009635733983197588,0.002901943179631886
종로구,2018,25326,15957,11241,8286,2228,573,162,63773,0.39712731093095827,0.25021560848635005,0.1762658178225895,0.12992959402882098,0.03493641509729823,0.00898499364935004,0.0025402599846329954
종로구,2019,24671,16208,11154,7828,2143,505,143,62652,0.3937783310987678,0.2586988444103939,0.17803102853859415,0.12494413586158462,0.034204813892613165,0.008060397114218222,0.00228244908382813
종로구,2020,25983,16281,10882,7679,2027,440,122,63414,0.4097360204371274,0.25674141356798186,0.1716024852556218,0.12109313400826316,0.031964550414734914,0.006938530923770776,0.0019238653925000787
종로구,2021,27308,16320,10690,7367,1826,381,92,63984,0.4267941985496374,0.2550637659414854,0.16707301825456364,0.11513815953988497,0.028538384596149036,0.005954613653413353,0.0014378594648662166
중구,2017,20164,13623,9498,6696,1660,445,122,52208,0.3862243334354888,0.2609370211461845,0.18192614158749618,0.12825620594544898,0.03179589334967821,0.008523597916028195,0.0023368066196751457
중구,2018,20803,14101,9601,6463,1591,433,110,53102,0.39175548943542615,0.26554555383978007,0.18080298293849573,0.12170916349666679,0.029961206734209635,0.008154118488945802,0.002071485066475839
중구,2019,22078,14578,9540,6292,1533,373,102,54496,0.40513065179095714,0.2675058719906048,0.17505871990604815,0.11545801526717557,0.028130504991192015,0.006844539048737522,0.0018716970052847916
중구,2020,22818,14978,9301,6134,1425,352,85,55093,0.4141723993973826,0.2718675693826802,0.16882362550596264,0.11133900858548273,0.025865354945274355,0.0063891964496397,0.0015428457335777686
중구,2021,24544,15118,9141,5654,1282,298,79,56116,0.43737971345070925,0.2694062299522418,0.1628947180839689,0.10075557773184118,0.022845534250481147,0.00531042839831777,0.0014077981324399458
용산구,2017,33076,24058,17316,12585,3154,724,189,91102,0.36306557485016794,0.2640776272749226,0.19007266580316567,0.1381418629667845,0.03462053522425413,0.007947136177032337,0.0020745977036728063
용산구,2018,34240,24574,17717,12098,3019,681,171,92500,0.3701621621621622,0.26566486486486485,0.19153513513513515,0.1307891891891892,0.03263783783783784,0.007362162162162162,0.0018486486486486487
용산구,2019,35148,25164,17439,11736,2907,612,171,93177,0.3772175536881419,0.2700666473485946,0.1871599214398403,0.1259538298077852,0.031198686371100164,0.006568144499178982,0.0018352168453588333
용산구,2020,36881,25941,17655,11733,2812,565,127,95714,0.3853250308209875,0.27102618216770796,0.18445577449484923,0.12258394801178511,0.029379192176693065,0.0059030026955304345,0.001326869632446664
용산구,2021,39270,26405,17161,10962,2593,490,108,96989,0.40489127633030547,0.2722473682582561,0.17693759086081925,0.11302312633391416,0.026734990565940468,0.005052119312499355,0.001113528338265164
성동구,2017,39067,30728,25452,19855,4437,1115,303,120957,0.32298254751688615,0.254040692146796,0.21042188546342916,0.16414924311945567,0.03668245740221732,0.009218151905222518,0.002505022445993204
성동구,2018,40706,32135,26002,19548,4273,1035,264,123963,0.3283721755685164,0.2592305768656777,0.20975613691182046,0.15769221461242466,0.034469962811484074,0.008349265506643111,0.002129667723433605
성동구,2019,41488,32125,25634,18379,4014,877,253,122770,0.33793271971980127,0.261668159973935,0.20879693736254784,0.14970269609839537,0.03269528386413619,0.007143438950883766,0.002060764030300562
성동구,2020,42585,32368,25023,17568,3655,781,206,122186,0.34852601771070335,0.2649075998886943,0.20479432995596877,0.14378079321689882,0.029913410701717054,0.006391894325045422,0.0016859542009722882
성동구,2021,44946,32553,24443,16649,3298,700,167,122756,0.3661409625598749,0.2651845938284076,0.19911857668871583,0.13562677180748803,0.02686630388738636,0.0057023689269770925,0.0013604223011502493
광진구,2017,54866,34309,28746,23244,5191,1151,339,147846,0.37110236326988894,0.23205903440066014,0.19443204415405219,0.15721764538776836,0.03511085859610676,0.007785127768083005,0.002292926423440607
광진구,2018,56337,35093,28596,22354,4947,1079,329,148735,0.3787743301845564,0.2359431203146536,0.1922614045113793,0.15029414730897234,0.033260496856825895,0.007254513060140518,0.0022119877634719466
광진구,2019,58714,35678,28054,21454,4711,1006,288,149905,0.3916747273273073,0.23800406924385445,0.18714519195490478,0.1431173076281645,0.03142657016110203,0.006710916914045562,0.0019212167706213936
광진구,2020,62301,36380,27174,20794,4354,846,241,152090,0.4096324544677494,0.23920047340390557,0.17867052403182326,0.13672167795384313,0.02862778617923598,0.005562495890591097,0.0015845880728516011
광진구,2021,66140,36736,26533,19591,3971,801,190,153962,0.4295865213494239,0.2386043309388031,0.17233473194684404,0.12724568399994804,0.025792078564840674,0.005202582455411075,0.001234070744729219
동대문구,2017,54030,34391,27589,21820,5617,1458,389,145294,0.37186669786777155,0.2366993819428194,0.18988395942021005,0.15017825925365122,0.038659545473316174,0.010034825939130316,0.0026773301031012982
동대문구,2018,55593,35628,27612,21139,5341,1321,340,146974,0.37825057493162056,0.24241022221617428,0.18786996339488618,0.14382816008273572,0.03633976077401445,0.008987984269326548,0.0023133343312422604
동대문구,2019,58152,36060,27436,20168,4988,1204,341,148349,0.3919945533842493,0.24307545045804152,0.18494226452487042,0.13594968621291684,0.03362341505503913,0.008115996737423239,0.0022986336274595717
동대문구,2020,60925,36819,27120,19528,4653,1062,266,150373,0.4051591708617904,0.2448511368397252,0.1803515258723308,0.12986373883609426,0.030943054936724012,0.007062438070664282,0.0017689345826710913
동대문구,2021,65290,37357,26574,18548,4290,957,230,153246,0.42604700938360546,0.24377145243595266,0.1734074625112564,0.12103415423567336,0.027994205395246857,0.006244861203555069,0.0015008548347102044
중랑구,2017,47543,42102,34301,26685,6603,1402,399,159035,0.29894677272298553,0.26473417801112964,0.21568208256044266,0.16779325305750306,0.041519162448517624,0.00881566950671236,0.002508881692709152
중랑구,2018,49207,42934,34055,25381,6159,1353,355,159444,0.3086161912646446,0.2692732244549811,0.21358596121522289,0.1591844158450616,0.038627982238278014,0.008485737939339204,0.0022264870424725924
중랑구,2019,52196,44057,33160,24003,5766,1251,343,160776,0.3246504453401005,0.2740272179927352,0.2062496890083097,0.14929467084639497,0.03586356172563069,0.007781012091356919,0.002133402995471961
중랑구,2020,56605,45576,32612,23295,5344,1107,293,164832,0.34341026014366144,0.2764997087944088,0.19784993205202872,0.14132571345369832,0.0324208891477383,0.00671592894583576,0.0017775674626286158
중랑구,2021,60487,46555,32001,21994,5001,976,246,167260,0.3616345808920244,0.2783391127585795,0.19132488341504245,0.13149587468611743,0.029899557575032883,0.005835226593327753,0.0014707640798756426
성북구,2017,54243,41856,36766,30370,7383,1839,516,172973,0.3135922947512039,0.24197996219063092,0.2125534042885306,0.17557653506616638,0.04268296208078717,0.010631717088794205,0.0029831245338867917
성북구,2018,55136,42140,36301,29176,7067,1665,458,171943,0.3206644062276452,0.2450812187759897,0.21112229052651169,0.1696841395113497,0.04110082992619647,0.009683441605648383,0.0026636734266588346
성북구,2019,57832,44443,37033,28861,6718,1446,396,176729,0.32723548483836834,0.25147542282251356,0.20954682027284713,0.16330653146908544,0.038013002959333214,0.008182018797141385,0.002240718840710919
성북구,2020,61510,45693,36539,27954,6373,1272,319,179660,0.34236891906935324,0.2543304018701993,0.20337860402983413,0.15559389958811087,0.035472559278637426,0.007080040075698541,0.0017755760881665369
성북구,2021,64985,46525,35813,27066,5975,1194,269,181827,0.3574001660919445,0.2558750900581322,0.19696194734555375,0.148855780494646,0.03286090624604707,0.006566681515946477,0.001479428247729985
강북구,2017,39082,34386,27070,20164,5059,1202,318,127281,0.30705289870444136,0.2701581540057039,0.21267903300571178,0.15842113119790072,0.0397467021786441,0.0094436718756138,0.0024984090319843497
강북구,2018,40872,34781,26543,19222,4748,1077,308,127551,0.320436531269845,0.2726830836292934,0.20809715329554454,0.15070050411208066,0.03722432595589215,0.008443681350989015,0.002414720386355262
강북구,2019,42791,35439,25967,18104,4465,981,265,128012,0.33427334937349623,0.27684123363434676,0.20284817048401713,0.1414242414773615,0.0348795425428866,0.007663344061494235,0.002070118426397525
강북구,2020,45685,36432,25261,17339,4048,836,204,129805,0.3519510034282193,0.2806671545780209,0.1946072955587227,0.13357728901043872,0.031185239397557876,0.006440429875582605,0.0015715881514579563
강북구,2021,48428,36671,24438,16177,3673,759,183,130329,0.3715826868924031,0.28137252645228616,0.18751007066731118,0.12412433149951277,0.028182522692570343,0.005823723039384941,0.0014041387565315471
도봉구,2017,29469,34622,30336,24408,5554,1222,363,125974,0.23392922349056156,0.2748344896565958,0.24081159604362806,0.19375426675345706,0.0440884626986521,0.009700414371219457,0.0028815469858859766
도봉구,2018,30848,35343,30077,23237,5292,1146,343,126286,0.2442709405634829,0.27986475143721395,0.23816575075622,0.18400297736882948,0.041904882568138985,0.009074640102624203,0.0027160572034904897
도봉구,2019,32653,36329,29580,22061,4901,1014,293,126831,0.2574528309325007,0.28643628135077387,0.23322373867587576,0.17394012504829262,0.038641972388453925,0.007994890838990468,0.0023101607651126303
도봉구,2020,34884,37166,28658,21089,4478,856,231,127362,0.27389645263108303,0.29181388483221055,0.2250121700350183,0.16558314096826368,0.03515962374962705,0.006720999984296729,0.001813727799500636
도봉구,2021,37853,37986,27861,19710,4075,752,202,128439,0.29471577947508154,0.2957512904958774,0.21692009436386145,0.15345806180365776,0.03172712338152742,0.005854919455928496,0.001572731024065899
노원구,2017,49265,50990,48297,43178,9065,1759,401,202955,0.24273853809957874,0.25123795915350694,0.23796900790815698,0.21274666798058683,0.044665073538469116,0.008666945874701288,0.001975807445000123
