자치구,시점,단독주택,아파트,연립주택,다세대주택,비거주용건물내,총 합,단독주택 비율,아파트 비율,연립주택 비율,다세대주택 비율,비거주용건물내 비율
종로구,2017,12920,14507,5451,11978,931,45787,0.2821761635398694,0.3168366566929478,0.11905125909100836,0.2616026383034486,0.020333282372725883
종로구,2018,12699,14530,5428,12140,932,45729,0.2777012399134029,0.3177414769621028,0.11869929366485163,0.26547704957466817,0.020380939884974525
종로구,2019,12421,15290,5459,12349,921,46440,0.2674633936261843,0.3292420327304048,0.1175495262704565,0.2659130060292851,0.01983204134366925
종로구,2020,12259,15688,5460,12540,912,46859,0.26161463112742483,0.33479160886916065,0.11651977208220406,0.26761134467231484,0.019462643248895625
종로구,2021,11987,15775,5490,12725,908,46885,0.2556681241335182,0.33646155486829477,0.11709501972912445,0.2714087661298923,0.01936653513917031
중구,2017,6308,23874,1948,6491,891,39512,0.1596477019639603,0.6042215023284065,0.04930147803199028,0.16427920631706824,0.02255011135857461
중구,2018,6209,24417,1944,6719,888,40177,0.1545411553874107,0.6077357692211962,0.04838589242601488,0.1672349851905319,0.022102197774846306
중구,2019,6035,25823,1940,7095,861,41754,0.14453705034248215,0.6184557168175504,0.04646261436030081,0.16992383963213106,0.020620778847535565
중구,2020,5967,26102,1944,7352,869,42234,0.14128427333428042,0.6180328645167401,0.04602926552067055,0.17407775725718616,0.02057583937112279
중구,2021,5865,26327,1896,7370,861,42319,0.1385902313381696,0.622108272879794,0.04480257094921903,0.17415345353151068,0.02034547130130674
용산구,2017,14993,35648,3985,15988,742,71356,0.21011547732496216,0.49957957284601157,0.055846740288132746,0.2240596445989125,0.010398564941981053
용산구,2018,14792,35728,3996,16416,748,71680,0.20636160714285715,0.4984375,0.05574776785714286,0.22901785714285713,0.010435267857142856
용산구,2019,14487,36181,3959,17107,729,72463,0.19992271918082333,0.4993030926127817,0.054634779128658766,0.23607910243848584,0.010060306639250376
용산구,2020,14064,37676,3969,18124,709,74542,0.18867215797805265,0.5054331786107161,0.05324515038501784,0.243138096643503,0.009511416382710419
용산구,2021,13716,38631,3911,18785,696,75739,0.1810956046422583,0.510054265305853,0.05163786160366522,0.24802281519428565,0.009189453253937866
성동구,2017,11044,62985,2055,9470,1096,86650,0.12745527986151184,0.7268897864974033,0.02371609924985574,0.10929024812463935,0.01264858626658973
성동구,2018,10944,63976,2032,9785,1093,87830,0.1246043493111693,0.7284071501764773,0.023135602869179095,0.11140840259592394,0.01244449504725037
성동구,2019,10782,67058,2021,10095,1081,91037,0.11843536144644486,0.7366016015466239,0.022199764930742445,0.1108889792062568,0.011874292869932006
성동구,2020,10525,67584,1990,10158,1072,91329,0.11524269399643049,0.7400059126892882,0.02178935496939636,0.11122425516539106,0.011737783179493918
성동구,2021,9916,68090,1976,10031,1020,91033,0.10892753177419177,0.7479705161864378,0.021706414157503323,0.11019080992607076,0.01120472795579625
광진구,2017,16297,30301,4249,31970,1499,84316,0.19328478580577826,0.359374258740927,0.05039375681958347,0.3791688410266142,0.01777835760709711
광진구,2018,16002,30425,4152,33565,1494,85638,0.1868563021088769,0.35527452766295337,0.04848315000350312,0.39194049370606504,0.017445526518601557
광진구,2019,15786,32089,4068,35697,1492,89132,0.17710810932100704,0.36001660458645607,0.045640174123771485,0.4004958937306467,0.016739218238118744
광진구,2020,15332,32135,4054,36858,1453,89832,0.17067414729717695,0.35772330572624456,0.04512868465580194,0.41029922522041146,0.016174637100365125
광진구,2021,15096,32571,4119,38226,1420,91432,0.16510630851343075,0.35623195380173245,0.04504987312975763,0.4180811969551142,0.015530667599965001
