자치구,시점,20세미만,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85세이상,전체인구수,청년층,청년층비율,중년층,중년층비율,노년층,노년층비율
종로구,2017,507,2992,3627,2552,1796,1518,1723,1540,1660,1471,1151,1065,998,608,430,23638,11474,0.4854048565868517,6441,0.2724849818089517,5723,0.24211016160419663
종로구,2018,798,3741,4007,2587,1880,1454,1734,1578,1683,1508,1113,1111,1014,674,444,25326,13013,0.513819789939193,6449,0.2546395009081576,5864,0.23154070915264946
종로구,2019,507,3280,3903,2647,1872,1405,1704,1521,1718,1572,1201,1120,1047,704,470,24671,12209,0.49487252239471446,6348,0.25730614891978437,6114,0.2478213286855012
종로구,2020,398,3331,4111,2923,1981,1516,1743,1612,1744,1727,1337,1156,1108,749,547,25983,12744,0.4904745410460686,6615,0.25458953931416695,6624,0.2549359196397645
종로구,2021,328,3211,4588,3205,2015,1690,1620,1783,1757,1864,1546,1160,1133,811,597,27308,13347,0.48875787315072505,6850,0.25084224403105315,7111,0.26039988281822174
중구,2017,499,2097,2669,2169,1686,1400,1632,1367,1510,1376,1097,882,912,519,349,20164,9120,0.452291212061099,5909,0.2930470144812537,5135,0.2546617734576473
중구,2018,585,2137,2809,2301,1786,1349,1589,1355,1514,1443,1120,922,898,607,388,20803,9618,0.4623371629091958,5807,0.27914243138008943,5378,0.2585204057107148
중구,2019,489,2251,3054,2561,1920,1462,1554,1467,1534,1567,1180,1031,896,652,460,22078,10275,0.46539541625147207,6017,0.27253374399855057,5786,0.26207083974997736
중구,2020,435,2250,3232,2698,1975,1466,1527,1541,1539,1629,1372,1119,897,687,451,22818,10590,0.4641072837233763,6073,0.2661495310719607,6155,0.269743185204663
중구,2021,268,2232,3792,3081,2187,1607,1486,1609,1540,1728,1567,1168,962,762,555,24544,11560,0.4709908735332464,6242,0.25431877444589307,6742,0.2746903520208605
용산구,2017,265,2658,4614,4620,3503,2638,2742,2041,2195,1984,1535,1384,1340,940,617,33076,15660,0.4734550731648325,9616,0.29072439230862257,7800,0.23582053452654492
용산구,2018,307,2620,5056,4813,3764,2644,2720,2117,2132,2094,1520,1417,1320,1022,694,34240,16560,0.48364485981308414,9613,0.28075350467289717,8067,0.2356016355140187
용산구,2019,252,2636,5349,4985,3959,2701,2729,2158,2104,2112,1596,1460,1321,1075,711,35148,17181,0.4888187094571526,9692,0.2757482644816206,8275,0.23543302606122682
용산구,2020,457,2663,5646,5550,4110,2903,2629,2245,2129,2154,1723,1450,1334,1106,782,36881,18426,0.4996068436322226,9906,0.26859358477264716,8549,0.2317995715951303
용산구,2021,140,2620,6396,6225,4436,3106,2624,2451,2166,2364,1925,1466,1335,1117,899,39270,19817,0.5046345811051693,10347,0.26348357524828114,9106,0.23188184364654954
성동구,2017,708,4467,6284,4603,3560,2876,2877,2529,2728,2309,1767,1519,1476,880,484,39067,19622,0.5022653390329435,11010,0.28182353392889137,8435,0.2159111270381652
성동구,2018,758,4756,6529,4752,3642,2802,2967,2656,2744,2583,1831,1654,1540,981,511,40706,20437,0.502063577850931,11169,0.27438215496487006,9100,0.22355426718419888
성동구,2019,587,4709,6878,4907,3655,2752,2990,2670,2715,2713,1942,1715,1557,1082,616,41488,20736,0.49980717315850365,11127,0.26819803316621676,9625,0.2319947936752796
성동구,2020,753,4850,7052,5008,3709,2790,2864,2707,2641,2850,2170,1748,1600,1167,676,42585,21372,0.5018668545262416,11002,0.25835388047434543,10211,0.23977926499941293
성동구,2021,534,4719,7909,5542,3828,3011,2773,2822,2721,3078,2464,1854,1666,1252,773,44946,22532,0.5013126863347128,11327,0.2520135273439238,11087,0.24667378632136341
광진구,2017,802,6280,10335,7976,5421,3936,3814,3276,3405,2881,2099,1703,1499,901,538,54866,30814,0.5616228629752488,14431,0.26302263697007255,9621,0.17535450005467867
광진구,2018,736,6523,11198,7919,5555,3718,3738,3220,3490,3136,2174,1857,1525,978,570,56337,31931,0.5667855938370875,14166,0.25145108898237395,10240,0.18176331718053854
광진구,2019,576,6710,11939,8398,5649,3767,3711,3423,3544,3392,2286,1959,1621,1060,679,58714,33272,0.5666791565895698,14445,0.2460230950028954,10997,0.18729774840753483
광진구,2020,562,7283,13249,8991,5692,3968,3600,3534,3576,3646,2650,2080,1688,1084,698,62301,35777,0.5742604452577005,14678,0.23559814449206273,11846,0.19014141025023676
광진구,2021,465,7334,14420,9932,5870,4257,3554,3738,3608,3969,3023,2184,1764,1216,806,66140,38021,0.5748563652857575,15157,0.22916540671303295,12962,0.19597822800120956
동대문구,2017,1696,8993,8769,5316,3811,3084,3309,3005,3457,3211,2725,2432,2255,1245,722,54030,28585,0.5290579307791967,12855,0.23792337590227652,12590,0.23301869331852673
동대문구,2018,1844,9343,9018,5328,3905,3055,3321,3084,3410,3477,2769,2526,2354,1361,798,55593,29438,0.5295270987354523,12870,0.23150396632669581,13285,0.2389689349378519
동대문구,2019,1543,10659,9771,5351,3895,3031,3289,3119,3442,3618,2921,2674,2412,1539,888,58152,31219,0.5368516989957353,12881,0.22150570917595266,14052,0.24164259182831202
동대문구,2020,1527,10567,10639,6001,4058,3222,3316,3199,3417,3907,3209,2812,2425,1630,996,60925,32792,0.5382355354944603,13154,0.2159048009848174,14979,0.2458596635207222
동대문구,2021,1198,11264,12124,6772,4190,3456,3274,3438,3385,4191,3641,2941,2473,1827,1116,65290,35548,0.5444631643436973,13553,0.20758155919742685,16189,0.24795527645887577
중랑구,2017,203,1909,4294,4657,4191,3662,4427,4566,5088,4270,3266,2655,2325,1256,774,47543,15254,0.320846391687525,17743,0.3731989988010853,14546,0.3059546095113897
중랑구,2018,167,1770,4767,4721,4412,3466,4372,4623,5165,4804,3368,2846,2484,1407,835,49207,15837,0.3218444530249761,17626,0.35820106895360415,15744,0.31995447802141974
중랑구,2019,201,2044,5604,5126,4408,3431,4246,4645,5400,5214,3687,3098,2544,1591,957,52196,17383,0.3330331826193578,17722,0.33952793317495594,17091,0.3274388842056863
중랑구,2020,206,2361,6577,5840,4551,3734,4170,4738,5514,5634,4398,3362,2713,1717,1090,56605,19535,0.3451108559314548,18156,0.3207490504372405,18914,0.33414009363130465
중랑구,2021,169,2565,7240,6465,4753,4021,4058,4917,5535,6209,5001,3578,2846,1933,1197,60487,21192,0.3503562749020451,18531,0.3063633508026518,20764,0.3432803742953031
성북구,2017,1514,9815,8330,4976,3660,3120,3450,2905,3380,3167,2610,2546,2379,1491,900,54243,28295,0.5216341279059049,12855,0.2369891045849234,13093,0.2413767675091717
성북구,2018,1616,10144,8478,4877,3663,2843,3468,2947,3305,3425,2681,2655,2433,1626,975,55136,28778,0.5219457341845618,12563,0.2278547591410331,13795,0.2501995066744051
성북구,2019,1355,10608,9391,5161,3810,2938,3513,3125,3397,3598,2773,2779,2486,1772,1126,57832,30325,0.5243636740904689,12973,0.22432217457462997,14534,0.2513141513349011
성북구,2020,1931,11271,9696,5663,3971,3167,3410,3379,3335,3916,3160,2882,2574,1898,1257,61510,32532,0.5288896114452935,13291,0.2160786863924565,15687,0.25503170216225
성북구,2021,1396,11312,10754,6373,4307,3443,3439,3601,3296,4209,3589,2990,2685,2101,1490,64985,34142,0.5253827806416865,13779,0.2120335462029699,17064,0.26258367315534353
강북구,2017,323,2178,3518,3251,2962,2789,3319,3180,3808,3499,3097,2665,2419,1344,730,39082,12232,0.3129829589069137,13096,0.33509032291080293,13754,0.3519267181822834
강북구,2018,324,2556,3895,3225,3080,2632,3352,3242,3827,3885,3176,2793,2598,1504,783,40872,13080,0.32002348796241925,13053,0.3193628890193776,14739,0.36061362301820316
강북구,2019,295,2816,4321,3369,3028,2572,3303,3395,3864,4197,3337,3075,2707,1649,863,42791,13829,0.323175434086607,13134,0.30693370101189504,15828,0.369890864901498
강북구,2020,288,3037,4894,3695,3016,2788,3276,3479,3999,4509,3754,3274,2910,1778,988,45685,14930,0.32680310824121706,13542,0.2964211447958849,17213,0.3767757469628981
강북구,2021,250,3151,5326,4084,3099,2882,3149,3755,3952,4920,4172,3552,2974,2024,1138,48428,15910,0.3285289501941026,13738,0.28367886346741555,18780,0.3877921863384819
도봉구,2017,221,1340,1938,2180,2145,2186,2625,2445,3067,2802,2350,2042,2012,1310,806,29469,7824,0.2654993382876922,10323,0.3503003155858699,11322,0.38420034612643794
도봉구,2018,194,1356,2105,2180,2276,2062,2674,2616,3069,3219,2412,2206,2126,1432,921,30848,8111,0.26293438796680496,10421,0.3378176867219917,12316,0.39924792531120334
도봉구,2019,159,1509,2452,2299,2371,2070,2713,2663,3102,3457,2595,2395,2231,1607,1030,32653,8790,0.26919425473922765,10548,0.32303310568707316,13315,0.4077726395736992
도봉구,2020,196,1612,2816,2536,2427,2217,2632,2814,3193,3735,2957,2604,2273,1748,1124,34884,9587,0.27482513473225545,10856,0.31120284371058365,14441,0.4139720215571609
도봉구,2021,151,1671,3288,3056,2547,2409,2637,3017,3207,4040,3472,2768,2328,1934,1328,37853,10713,0.283015877209204,11270,0.29773069505719496,15870,0.419253427733601
노원구,2017,1168,5505,4102,3274,3137,3106,3418,3139,4106,4281,3746,3442,3414,2144,1283,49265,17186,0.348848066578707,13769,0.2794884806657871,18310,0.37166345275550594
노원구,2018,854,5541,4512,3343,3333,3015,3574,3321,4107,4660,3955,3729,3518,2365,1453,51280,17583,0.34288221528861157,14017,0.2733424336973479,19680,0.3837753510140406
노원구,2019,724,5509,4848,3449,3391,2985,3656,3507,4065,4932,4195,4048,3753,2608,1695,53365,17921,0.33581935725662887,14213,0.2663356132296449,21231,0.39784502951372624
노원구,2020,590,5554,5204,3900,3530,3164,3700,3764,4025,5269,4757,4359,3924,2779,1919,56438,18778,0.3327190899748396,14653,0.25963003650023037,23007,0.40765087352493
노원구,2021,644,5683,5680,4716,3803,3421,3613,3983,4190,5615,5444,4531,4027,3186,2111,60647,20526,0.33845037677049156,15207,0.2507461209952677,24914,0.4108035022342408
은평구,2017,198,1970,4804,5137,4421,3745,3896,3338,4099,3859,3175,2906,2671,1512,804,46535,16530,0.3552165037068873,15078,0.32401418287310624,14927,0.3207693134200065
은평구,2018,235,2066,5404,5345,4631,3664,4054,3458,4013,4287,3279,3104,2743,1686,919,48888,17681,0.3616633938798887,15189,0.31068973981345116,16018,0.3276468663066601
은평구,2019,251,2539,6610,5708,4901,3679,4184,3602,4112,4555,3532,3280,2880,1904,1077,52814,20009,0.37885787859279735,15577,0.29494073541106525,17228,0.3262013859961374
