"자치구별(1)","자치구별(2)","연면적별(1)",시점,합계,합계,합계,합계,합계
"자치구별(1)","자치구별(2)","연면적별(1)",시점,단독주택,아파트,연립주택,다세대주택,비거주용건물내
"합계","종로구","20㎡ 이하",2017,481,1217,39,922,65
"합계","종로구","20㎡ 이하",2018,463,1219,40,936,65
"합계","종로구","20㎡ 이하",2019,441,1026,111,975,63
"합계","종로구","20㎡ 이하",2020,423,1245,111,1005,62
"합계","종로구","20㎡ 이하",2021,412,1272,159,1009,64
"합계","종로구","20㎡ ~ 40㎡",2017,2088,1341,316,2909,109
"합계","종로구","20㎡ ~ 40㎡",2018,2010,1338,315,2972,106
"합계","종로구","20㎡ ~ 40㎡",2019,1925,1443,312,3058,103
"합계","종로구","20㎡ ~ 40㎡",2020,1869,1473,312,3104,98
"합계","종로구","20㎡ ~ 40㎡",2021,1784,1549,306,3171,93
"합계","종로구","40㎡ ~ 60㎡",2017,1979,2898,1242,5277,119
"합계","종로구","40㎡ ~ 60㎡",2018,1926,2897,1242,5358,119
"합계","종로구","40㎡ ~ 60㎡",2019,1860,3437,1239,5390,118
"합계","종로구","40㎡ ~ 60㎡",2020,1809,3535,1240,5463,113
"합계","종로구","40㎡ ~ 60㎡",2021,1739,3527,1187,5555,106
"합계","종로구","60㎡ ~ 85㎡",2017,1490,5149,1772,2163,138
"합계","종로구","60㎡ ~ 85㎡",2018,1458,5172,1753,2168,136
"합계","종로구","60㎡ ~ 85㎡",2019,1420,5706,1741,2227,134
"합계","종로구","60㎡ ~ 85㎡",2020,1405,5697,1741,2254,130
"합계","종로구","60㎡ ~ 85㎡",2021,1367,5695,1795,2265,130
"합계","종로구","85㎡ ~ 100㎡",2017,714,731,305,221,80
"합계","종로구","85㎡ ~ 100㎡",2018,706,731,304,221,81
"합계","종로구","85㎡ ~ 100㎡",2019,697,495,285,216,85
"합계","종로구","85㎡ ~ 100㎡",2020,690,495,285,221,87
"합계","종로구","85㎡ ~ 100㎡",2021,686,493,278,222,88
"합계","종로구","100㎡ ~ 130㎡",2017,1275,1925,437,237,136
"합계","종로구","100㎡ ~ 130㎡",2018,1259,1927,436,236,138
"합계","종로구","100㎡ ~ 130㎡",2019,1232,1945,433,230,137
"합계","종로구","100㎡ ~ 130㎡",2020,1212,1986,433,228,137
"합계","종로구","100㎡ ~ 130㎡",2021,1201,1985,430,231,136
"합계","종로구","130㎡ ~ 165㎡",2017,1218,922,633,127,105
"합계","종로구","130㎡ ~ 165㎡",2018,1211,922,633,127,104
"합계","종로구","130㎡ ~ 165㎡",2019,1198,949,634,133,103
"합계","종로구","130㎡ ~ 165㎡",2020,1192,962,634,142,104
"합계","종로구","130㎡ ~ 165㎡",2021,1166,960,634,150,99
"합계","종로구","165㎡ ~ 230㎡",2017,1504,280,543,122,112
"합계","종로구","165㎡ ~ 230㎡",2018,1494,280,541,122,114
"합계","종로구","165㎡ ~ 230㎡",2019,1484,245,538,120,109
"합계","종로구","165㎡ ~ 230㎡",2020,1477,249,538,123,107
"합계","종로구","165㎡ ~ 230㎡",2021,1474,249,535,122,116
"합계","종로구","230㎡ 초과",2017,2171,44,164,-,67
"합계","종로구","230㎡ 초과",2018,2172,44,164,-,69
"합계","종로구","230㎡ 초과",2019,2164,44,166,-,69
"합계","종로구","230㎡ 초과",2020,2182,46,166,-,74
"합계","종로구","230㎡ 초과",2021,2158,45,166,X,76
"합계","중구","20㎡ 이하",2017,200,957,52,947,42
"합계","중구","20㎡ 이하",2018,195,1014,50,958,42
"합계","중구","20㎡ 이하",2019,188,1018,50,988,42
"합계","중구","20㎡ 이하",2020,186,1182,50,1031,39
"합계","중구","20㎡ 이하",2021,179,1408,55,1050,38
"합계","중구","20㎡ ~ 40㎡",2017,1123,5537,173,2000,112
"합계","중구","20㎡ ~ 40㎡",2018,1099,5807,171,2189,112
"합계","중구","20㎡ ~ 40㎡",2019,1063,6883,173,2470,105
"합계","중구","20㎡ ~ 40㎡",2020,1033,6586,172,2598,101
"합계","중구","20㎡ ~ 40㎡",2021,1006,6734,163,2666,100
"합계","중구","40㎡ ~ 60㎡",2017,854,4093,656,2425,121
"합계","중구","40㎡ ~ 60㎡",2018,839,4117,653,2446,119
"합계","중구","40㎡ ~ 60㎡",2019,810,4222,654,2497,115
"합계","중구","40㎡ ~ 60㎡",2020,784,4658,656,2571,120
"합계","중구","40㎡ ~ 60㎡",2021,779,4675,648,2535,119
"합계","중구","60㎡ ~ 85㎡",2017,686,7839,650,960,122
"합계","중구","60㎡ ~ 85㎡",2018,672,8033,652,965,121
"합계","중구","60㎡ ~ 85㎡",2019,642,8205,645,978,117
"합계","중구","60㎡ ~ 85㎡",2020,630,8413,648,987,119
"합계","중구","60㎡ ~ 85㎡",2021,611,8353,619,966,122
"합계","중구","85㎡ ~ 100㎡",2017,404,172,132,49,77
"합계","중구","85㎡ ~ 100㎡",2018,400,174,133,50,77
"합계","중구","85㎡ ~ 100㎡",2019,387,174,133,50,77
"합계","중구","85㎡ ~ 100㎡",2020,385,192,133,49,75
"합계","중구","85㎡ ~ 100㎡",2021,384,189,133,47,71
