"자치구별(1)","자치구별(2)","폐기물별(1)",시점,발생량,재활용량
"서울시","종로구","생활폐기물",2017,269.7,122.3
"서울시","종로구","생활폐기물",2018,261.9,133.9
"서울시","종로구","생활폐기물",2019,244.8,124.5
"서울시","종로구","생활폐기물",2020,264.2,77.4
"서울시","종로구","음식물폐기물",2017,105.4,105.4
"서울시","종로구","음식물폐기물",2018,100.8,100.8
"서울시","종로구","음식물폐기물",2019,95.6,95.6
"서울시","종로구","음식물폐기물",2020,76.1,76.1
"서울시","중구","생활폐기물",2017,338.6,118.0
"서울시","중구","생활폐기물",2018,314.9,126.7
"서울시","중구","생활폐기물",2019,325.9,136.5
"서울시","중구","생활폐기물",2020,357.5,117.9
"서울시","중구","음식물폐기물",2017,107.4,107.4
"서울시","중구","음식물폐기물",2018,114.8,114.8
"서울시","중구","음식물폐기물",2019,116.4,116.4
"서울시","중구","음식물폐기물",2020,80.8,80.8
"서울시","용산구","생활폐기물",2017,187.8,91.3
"서울시","용산구","생활폐기물",2018,214.3,118.9
"서울시","용산구","생활폐기물",2019,234.4,127.8
"서울시","용산구","생활폐기물",2020,301.2,133.6
"서울시","용산구","음식물폐기물",2017,74.9,74.9
"서울시","용산구","음식물폐기물",2018,74.1,74.1
"서울시","용산구","음식물폐기물",2019,74.1,74.1
"서울시","용산구","음식물폐기물",2020,63.7,63.7
"서울시","성동구","생활폐기물",2017,170.0,81.9
"서울시","성동구","생활폐기물",2018,185.8,94.7
"서울시","성동구","생활폐기물",2019,228.5,136.8
"서울시","성동구","생활폐기물",2020,301.2,123.7
"서울시","성동구","음식물폐기물",2017,85.7,85.7
"서울시","성동구","음식물폐기물",2018,84.2,84.2
"서울시","성동구","음식물폐기물",2019,80.6,80.6
"서울시","성동구","음식물폐기물",2020,77.9,77.9
"서울시","광진구","생활폐기물",2017,220.1,140.2
"서울시","광진구","생활폐기물",2018,247.4,168.2
"서울시","광진구","생활폐기물",2019,239.4,158.7
"서울시","광진구","생활폐기물",2020,343.1,152.0
"서울시","광진구","음식물폐기물",2017,99.1,99.1
"서울시","광진구","음식물폐기물",2018,95.1,95.1
"서울시","광진구","음식물폐기물",2019,92.7,92.7
"서울시","광진구","음식물폐기물",2020,86.8,86.8
"서울시","동대문구","생활폐기물",2017,320.7,208.8
"서울시","동대문구","생활폐기물",2018,318.7,208.3
"서울시","동대문구","생활폐기물",2019,318.4,205.6
"서울시","동대문구","생활폐기물",2020,440.1,240.1
"서울시","동대문구","음식물폐기물",2017,101.8,101.8
"서울시","동대문구","음식물폐기물",2018,97.6,97.6
"서울시","동대문구","음식물폐기물",2019,97.7,97.7
"서울시","동대문구","음식물폐기물",2020,90.8,90.8
"서울시","중랑구","생활폐기물",2017,270.6,172.8
"서울시","중랑구","생활폐기물",2018,303.1,192.9
"서울시","중랑구","생활폐기물",2019,293.4,186.0
"서울시","중랑구","생활폐기물",2020,337.6,139.9
"서울시","중랑구","음식물폐기물",2017,90.7,90.7
"서울시","중랑구","음식물폐기물",2018,91.4,88.8
"서울시","중랑구","음식물폐기물",2019,91.0,91.0
"서울시","중랑구","음식물폐기물",2020,86.7,86.7
"서울시","성북구","생활폐기물",2017,250.1,142.6
"서울시","성북구","생활폐기물",2018,254.5,155.8
"서울시","성북구","생활폐기물",2019,276.2,180.5
"서울시","성북구","생활폐기물",2020,361.6,158.5
"서울시","성북구","음식물폐기물",2017,95.4,95.4
"서울시","성북구","음식물폐기물",2018,94.0,94.0
"서울시","성북구","음식물폐기물",2019,93.8,93.8
"서울시","성북구","음식물폐기물",2020,86.9,86.9
"서울시","강북구","생활폐기물",2017,146.1,74.9
"서울시","강북구","생활폐기물",2018,154.7,79.5
"서울시","강북구","생활폐기물",2019,177.6,101.7
"서울시","강북구","생활폐기물",2020,243.1,77.2
"서울시","강북구","음식물폐기물",2017,78.8,78.8
"서울시","강북구","음식물폐기물",2018,75.9,75.9
"서울시","강북구","음식물폐기물",2019,73.5,73.5
"서울시","강북구","음식물폐기물",2020,68.7,68.7
"서울시","도봉구","생활폐기물",2017,161.3,90.1
"서울시","도봉구","생활폐기물",2018,177.4,109.8
"서울시","도봉구","생활폐기물",2019,264.2,140.0
"서울시","도봉구","생활폐기물",2020,300.9,126.2
"서울시","도봉구","음식물폐기물",2017,82.3,82.3
"서울시","도봉구","음식물폐기물",2018,78.3,78.3
"서울시","도봉구","음식물폐기물",2019,78.2,78.2
"서울시","도봉구","음식물폐기물",2020,72.8,72.8
"서울시","노원구","생활폐기물",2017,278.0,170.3
"서울시","노원구","생활폐기물",2018,335.3,228.3
"서울시","노원구","생활폐기물",2019,192.3,82.4
"서울시","노원구","생활폐기물",2020,394.8,162.7
"서울시","노원구","음식물폐기물",2017,138.7,138.7
"서울시","노원구","음식물폐기물",2018,131.9,131.9
"서울시","노원구","음식물폐기물",2019,128.7,128.7
"서울시","노원구","음식물폐기물",2020,118.4,118.4
"서울시","은평구","생활폐기물",2017,232.9,96.6
"서울시","은평구","생활폐기물",2018,249.1,110.8
"서울시","은평구","생활폐기물",2019,294.9,150.8
"서울시","은평구","생활폐기물",2020,380.4,143.4
"서울시","은평구","음식물폐기물",2017,86.7,86.7
"서울시","은평구","음식물폐기물",2018,84.2,84.2
"서울시","은평구","음식물폐기물",2019,84.6,84.6
"서울시","은평구","음식물폐기물",2020,78.4,78.4
"서울시","서대문구","생활폐기물",2017,221.4,103.3
"서울시","서대문구","생활폐기물",2018,212.2,103.2
"서울시","서대문구","생활폐기물",2019,170.1,76.5
"서울시","서대문구","생활폐기물",2020,285.3,112.4
"서울시","서대문구","음식물폐기물",2017,76.9,76.9
"서울시","서대문구","음식물폐기물",2018,73.1,73.1
"서울시","서대문구","음식물폐기물",2019,71.1,71.1
"서울시","서대문구","음식물폐기물",2020,63.5,63.5
"서울시","마포구","생활폐기물",2017,328.8,196.3
"서울시","마포구","생활폐기물",2018,348.4,202.8
"서울시","마포구","생활폐기물",2019,354.1,162.5
"서울시","마포구","생활폐기물",2020,366.4,133.8
"서울시","마포구","음식물폐기물",2017,108.9,108.9
"서울시","마포구","음식물폐기물",2018,91.1,91.1
"서울시","마포구","음식물폐기물",2019,96.4,96.4
"서울시","마포구","음식물폐기물",2020,84.6,84.6
"서울시","양천구","생활폐기물",2017,187.0,85.8
"서울시","양천구","생활폐기물",2018,192.8,95.1
"서울시","양천구","생활폐기물",2019,223.3,104.0
"서울시","양천구","생활폐기물",2020,394.4,196.8
"서울시","양천구","음식물폐기물",2017,108.4,108.4
"서울시","양천구","음식물폐기물",2018,104.9,104.9
"서울시","양천구","음식물폐기물",2019,97.6,97.6
"서울시","양천구","음식물폐기물",2020,89.0,89.0
"서울시","강서구","생활폐기물",2017,295.2,160.9
"서울시","강서구","생활폐기물",2018,316.9,173.3
"서울시","강서구","생활폐기물",2019,439.2,286.0
"서울시","강서구","생활폐기물",2020,526.8,221.7
"서울시","강서구","음식물폐기물",2017,168.5,168.5
"서울시","강서구","음식물폐기물",2018,163.1,163.1
"서울시","강서구","음식물폐기물",2019,165.0,165.0
"서울시","강서구","음식물폐기물",2020,144.1,144.1
"서울시","구로구","생활폐기물",2017,208.5,72.2
"서울시","구로구","생활폐기물",2018,222.6,76.0
"서울시","구로구","생활폐기물",2019,229.6,74.1
"서울시","구로구","생활폐기물",2020,329.6,90.5
"서울시","구로구","음식물폐기물",2017,102.3,102.3
"서울시","구로구","음식물폐기물",2018,96.8,96.8
"서울시","구로구","음식물폐기물",2019,94.6,94.6
"서울시","구로구","음식물폐기물",2020,82.2,82.2
"서울시","금천구","생활폐기물",2017,182.2,110.4
"서울시","금천구","생활폐기물",2018,189.8,116.2
"서울시","금천구","생활폐기물",2019,224.2,135.5
"서울시","금천구","생활폐기물",2020,274.5,133.7
"서울시","금천구","음식물폐기물",2017,59.6,59.6
"서울시","금천구","음식물폐기물",2018,59.0,59.0
"서울시","금천구","음식물폐기물",2019,59.1,59.1
"서울시","금천구","음식물폐기물",2020,55.0,55.0
"서울시","영등포구","생활폐기물",2017,186.2,75.7
"서울시","영등포구","생활폐기물",2018,201.0,82.3
"서울시","영등포구","생활폐기물",2019,261.9,111.0
"서울시","영등포구","생활폐기물",2020,449.4,160.8
"서울시","영등포구","음식물폐기물",2017,154.5,154.5
"서울시","영등포구","음식물폐기물",2018,134.3,134.3
"서울시","영등포구","음식물폐기물",2019,146.4,146.4
"서울시","영등포구","음식물폐기물",2020,136.5,136.5
"서울시","동작구","생활폐기물",2017,177.5,86.8
"서울시","동작구","생활폐기물",2018,199.5,109.0
"서울시","동작구","생활폐기물",2019,222.4,131.9
"서울시","동작구","생활폐기물",2020,324.5,151.7
"서울시","동작구","음식물폐기물",2017,91.5,91.5
"서울시","동작구","음식물폐기물",2018,91.1,91.1
"서울시","동작구","음식물폐기물",2019,92.8,92.8
"서울시","동작구","음식물폐기물",2020,85.3,85.3
"서울시","관악구","생활폐기물",2017,251.6,121.2
"서울시","관악구","생활폐기물",2018,326.5,205.6
"서울시","관악구","생활폐기물",2019,343.4,221.9
"서울시","관악구","생활폐기물",2020,401.6,188.7
"서울시","관악구","음식물폐기물",2017,110.2,110.2
"서울시","관악구","음식물폐기물",2018,110.3,110.3
"서울시","관악구","음식물폐기물",2019,105.6,105.6
"서울시","관악구","음식물폐기물",2020,94.2,94.2
"서울시","서초구","생활폐기물",2017,392.7,226.1
"서울시","서초구","생활폐기물",2018,388.0,215.6
"서울시","서초구","생활폐기물",2019,319.1,114.0
"서울시","서초구","생활폐기물",2020,504.8,142.6
"서울시","서초구","음식물폐기물",2017,179.0,179.0
"서울시","서초구","음식물폐기물",2018,175.7,175.7
"서울시","서초구","음식물폐기물",2019,180.2,180.2
"서울시","서초구","음식물폐기물",2020,155.8,155.8
"서울시","강남구","생활폐기물",2017,446.5,213.0
"서울시","강남구","생활폐기물",2018,407.6,176.0
"서울시","강남구","생활폐기물",2019,468.0,225.0
