,자치구별(2),시점,연령별(2),남자,여자
0,종로구,2016,20세미만,169,357
1,종로구,2016,20~24세,1214,1759
2,종로구,2016,25~29세,1948,1599
3,종로구,2016,30~34세,1345,1141
4,종로구,2016,35~39세,900,823
5,종로구,2016,40~44세,859,638
6,종로구,2016,45~49세,949,684
7,종로구,2016,50~54세,970,574
8,종로구,2016,55~59세,829,708
9,종로구,2016,60~64세,716,663
10,종로구,2016,65~69세,439,633
11,종로구,2016,70~74세,367,700
12,종로구,2016,75~79세,264,630
13,종로구,2016,80~84세,127,452
14,종로구,2016,85세이상,89,289
15,종로구,2017,20세미만,191,316
16,종로구,2017,20~24세,1138,1854
17,종로구,2017,25~29세,2082,1545
18,종로구,2017,30~34세,1374,1178
19,종로구,2017,35~39세,967,829
20,종로구,2017,40~44세,824,694
21,종로구,2017,45~49세,982,741
22,종로구,2017,50~54세,931,609
23,종로구,2017,55~59세,947,713
24,종로구,2017,60~64세,756,715
25,종로구,2017,65~69세,502,649
26,종로구,2017,70~74세,372,693
27,종로구,2017,75~79세,287,711
28,종로구,2017,80~84세,146,462
29,종로구,2017,85세이상,95,335
30,종로구,2018,20세미만,304,494
31,종로구,2018,20~24세,1761,1980
32,종로구,2018,25~29세,2259,1748
33,종로구,2018,30~34세,1441,1146
34,종로구,2018,35~39세,976,904
35,종로구,2018,40~44세,778,676
36,종로구,2018,45~49세,964,770
37,종로구,2018,50~54세,908,670
38,종로구,2018,55~59세,972,711
39,종로구,2018,60~64세,801,707
40,종로구,2018,65~69세,494,619
41,종로구,2018,70~74세,409,702
42,종로구,2018,75~79세,307,707
43,종로구,2018,80~84세,165,509
44,종로구,2018,85세이상,96,348
45,종로구,2019,20세미만,158,349
46,종로구,2019,20~24세,1236,2044
47,종로구,2019,25~29세,2178,1725
48,종로구,2019,30~34세,1466,1181
49,종로구,2019,35~39세,959,913
50,종로구,2019,40~44세,727,678
51,종로구,2019,45~49세,944,760
52,종로구,2019,50~54세,880,641
53,종로구,2019,55~59세,993,725
54,종로구,2019,60~64세,817,755
55,종로구,2019,65~69세,562,639
56,종로구,2019,70~74세,416,704
57,종로구,2019,75~79세,320,727
58,종로구,2019,80~84세,170,534
59,종로구,2019,85세이상,116,354
60,종로구,2020,20세미만,134,264
61,종로구,2020,20~24세,1209,2122
62,종로구,2020,25~29세,2229,1882
63,종로구,2020,30~34세,1664,1259
64,종로구,2020,35~39세,1043,938
65,종로구,2020,40~44세,774,742
66,종로구,2020,45~49세,983,760
67,종로구,2020,50~54세,958,654
68,종로구,2020,55~59세,1053,691
69,종로구,2020,60~64세,915,812
70,종로구,2020,65~69세,625,712
71,종로구,2020,70~74세,424,732
72,종로구,2020,75~79세,330,778
73,종로구,2020,80~84세,186,563
74,종로구,2020,85세이상,136,411
75,종로구,2021,20세미만,111,217
76,종로구,2021,20~24세,1146,2065
